Map,Grass 20,Grass 20,Grass 10,Grass 10,Grass 10,Grass 10,Grass 5,Grass 5,Grass 5,Grass 5,Water 60,Water 30,Water 5,Water 5,Fishing 70,Fishing 30,Fishing 60,Fishing 20,Fishing 20,Fishing 40,Fishing 40,Fishing 15,Fishing 5,Rock 60,Rock 30,Rock 5,Rock 5
PetalburgCity,,,,,,,,,,,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Corphish,,,,
SlateportCity,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
LilycoveCity,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Staryu,Staryu,,,,
MossdeepCity,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
SootopolisCity,,,,,,,,,,,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Gyarados,Gyarados,,,,
EverGrandeCity,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Luvdisc,Wailmer,Luvdisc,Luvdisc,Wailmer,Corsola,,,,
DewfordTown,,,,,,,,,,,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
PacifidlogTown,,,,,,,,,,,Tentacool,Pelipper,Tentacruel,Tentacruel,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route101,Wurmple,Lillipup,Wurmple,Lillipup,Zigzagoon,Zorua,Zigzagoon,Zorua,Poochyena,Sewaddle,,,,,,,,,,,,,,,,,
Route102,Zigzagoon,Poochyena,Lotad,Seedot,Ralts,Surskit,Wurmple,Lillipup,Gothita,Tympole,Marill,Azumarill,Surskit,Masquerain,Magikarp,Goldeen,Magikarp,Goldeen,Corphish,Corphish,Corphish,Corphish,Corphish,,,,
Route103,Zigzagoon,Lillipup,Poochyena,Chatot,Shellos,Wingull,Shinx,Grubbin,Wingull,Chatot,Tentacool,Wingull,Pelipper,Pelipper,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
Route104,Zigzagoon,Pidove,Wurmple,Sewaddle,Taillow,Chatot,Wingull,Zigzagoon,Pidove,Wurmple,Wingull,Pelipper,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,Magikarp,,,,
Route105,,,,,,,,,,,Frillish,Skrelp,Clauncher,Krabby,Magikarp,Tentacool,Magikarp,Tentacool,Wailmer,Wailmer,Wailmer,Wailmer,Wailmer,,,,
